date,trauma,gender,age,period,words,support,companion,ai
07-03-2024 20:32,NO,Male,21 - 30 years of age,None,"Agitated, Anxious, Concerned, Confident, Confused, Enthusiastic, Happy, Hopeful, Lonely, Optimistic, Self-conscious, Thoughtful, Worried",Yes,Yes,Yes
07-03-2024 20:35,YES,Prefer not to say,15 - 20 years of age,Over 1 year,"Anxious, Cheerful, Confident, Delighted, Disappointed, Enthusiastic, Fed up, Frustrated, Hopeful, Joyous, Lonely, Passionate, Sensitive, Spirited, Sympathetic",No,Yes,Yes
07-03-2024 20:36,NO,Male,15 - 20 years of age,Over 1 year,"Accepted, Agitated, Anxious, Cheerful, Concerned, Confused, Depressed, Disappointed, Distraught, Distressed, Fatigued, Frustrated, Helpless, Hopeful, Jealous(y), Lonely, Miserable, Passionate, Sympathetic, Thoughtful, Vulnerable",Yes,Yes,Yes
07-03-2024 20:37,NO,Male,Less than 15 years of age,None,"Anxious, Confident, Enthusiastic, Excited, Flustered, Happy, Impatient, Jealous(y), Lonely, Melancholy, Optimistic, Outraged, Passionate, Spirited, Thrilled, Vulnerable",No,Yes,Yes
07-03-2024 21:02,YES,Female,15 - 20 years of age,Over 1 year,"Anxious, Concerned, Confident, Confused, Excited, Exhausted, Loved, Sad, Sympathetic, Thoughtful",Yes,Yes,Yes
07-03-2024 21:24,NO,Male,21 - 30 years of age,None,"Anger, Depressed, Desperate, Disappointed, Hopeless, Infuriated, Lonely, Overwhelmed, Sad, Vulnerable",Yes,Yes,Yes
07-03-2024 21:29,NO,Male,21 - 30 years of age,5 years and over,"Lonely, Petrified, Sorrow, Terrified, Vulnerable, Worried",No,Yes,Yes
07-03-2024 21:45,YES,Male,21 - 30 years of age,Over 1 year,"Anxious, Confused, Depressed, Frustrated, Vulnerable",Yes,Yes,Yes
07-03-2024 21:55,NO,Male,21 - 30 years of age,None,"Accepted, Anger, Concerned, Confident, Happy, Impatient, Loved, Overwhelmed, Relaxed, Self-conscious",Yes,Yes,Yes
07-03-2024 21:59,NO,Male,15 - 20 years of age,None,"Anxious, Cheerful, Confident, Delighted, Exhausted, Happy, Impatient, Love, Loved, Optimistic, Sorrow, Thankful, Thoughtful",Yes,Yes,No
07-03-2024 22:00,YES,Male,21 - 30 years of age,None,"Anger, Concerned, Enthusiastic, Happy, Irritated, Love, Optimistic, Peaceful, Relaxed, Thankful",Yes,No,Yes
07-03-2024 22:03,YES,Female,21 - 30 years of age,None,"Anger, Anxious, Fed up, Helpless, Hopeless, Lonely, Optimistic, Overwhelmed, Thrilled, Worthless",Yes,Yes,Yes
07-03-2024 22:31,NO,Male,21 - 30 years of age,None,"Confused, Depressed, Exhausted, Frustrated, Hopeful, Hopeless, Melancholy, Miserable, Outraged, Self-conscious",Yes,Yes,Yes
07-03-2024 22:38,YES,Male,21 - 30 years of age,Over 1 year,"Accepted, Agitated, Anxious, Cheerful, Concerned, Depressed, Desperate, Disappointed, Distressed, Enthusiastic, Embarrassed",Yes,Yes,Yes
07-03-2024 22:51,YES,Male,21 - 30 years of age,Between 6 months and 1 year,"Anger, Confused, Disappointed, Exhausted, Lonely",No,Yes,Yes
07-03-2024 22:52,YES,Female,15 - 20 years of age,Less than 6 months,"Anger, Cheerful, Confused, Depressed, Exhausted, Helpless, Lonely",Yes,Yes,Yes
07-03-2024 23:21,NO,Male,21 - 30 years of age,None,"Accepted, Anger, Anxious, Concerned, Confused, Depressed, Distressed, Exhausted, Fatigued, Fed up, Guilt, Happy, Humiliated, Irritated, Lonely, Sad, Surprised, Terrified",No,Yes,Yes
07-03-2024 23:22,YES,Male,21 - 30 years of age,Less than 6 months,"Accepted, Confident, Confused, Depressed, Disappointed, Enthusiastic, Fatigued, Fed up, Frustrated, Guilt, Hopeless, Indifferent, Lonely, Loved, Miserable, Mixed-up, Passionate, Perplexed, Sad, Self-conscious, Spirited, Sympathetic, Vulnerable, Worried",Yes,No,Yes
07-03-2024 23:31,YES,Male,21 - 30 years of age,None,"Accepted, Anger, Anxious, Concerned, Confident, Delighted, Encouraged, Enthusiastic, Excited, Happy, Love, Overjoyed, Passionate, Self-conscious, Sympathetic, Thankful, Thrilled",Yes,Yes,Yes
08-03-2024 00:39,YES,Male,51 - 60 years of age,Less than 6 months,"Anger, Cheerful, Confident, Encouraged, Enthusiastic, Excited, Hopeful, Love, Loved, Optimistic, Overjoyed, Relaxed, Sympathetic, Thankful, Thoughtful, Thrilled",Yes,Yes,Yes
